x_coord_m,y_coord_m,area_sqm,Radius_m,Diameter_m
-3240642.681,-1095616.129,55553043.36,4205.12579,8410.25158
-3153735.026,-1130266.571,918855.7187,540.8149954,1081.629991
-3238697.267,-1144111.252,7127267.473,1506.213696,3012.427392
-3236017.316,-1120421.347,1402221.918,668.0876433,1336.175287
-3196182.039,-1132213.318,1929685.237,783.7333017,1567.466603
-3199041.799,-1150145.821,988209.6536,560.8537263,1121.707453
-3198942.674,-1112450.301,636147.1825,449.9910413,899.9820826
-3170745.417,-1116277.719,1065037.067,582.247222,1164.494444
-3229499.444,-1143874.029,1294423.018,641.8937947,1283.787589
-3211198.821,-1124891.877,865921.7775,525.0061547,1050.012309
-3227845.842,-1110616.863,2163633.108,829.8830088,1659.766018
-3215839.697,-1104660.867,734582.9728,483.5545703,967.1091406
-3213999.091,-1102950.328,1708985.762,737.5547867,1475.109573
-3211546.724,-1102507.294,1463653.208,682.5652248,1365.13045
-3210292.649,-1099832.01,721286.1399,479.1581254,958.3162507
-3240550.827,-1102013.924,1034319.43,573.789247,1147.578494
-3159788.476,-1095939.363,1951669.671,788.1850994,1576.370199
-3166925.673,-1096094.388,1799106.663,756.7518994,1513.503799
-3169264.427,-1073125.799,2206898.716,838.1394151,1676.27883
-3218377.927,-1057191.805,5209744.839,1287.755135,2575.510269
-3223312.237,-1058240.071,1808941.101,758.817393,1517.634786
-3241703.774,-1077568.605,5873317.561,1367.309418,2734.618836
-3204766.639,-1070646.605,1614788.042,716.9400238,1433.880048
-3208311.735,-1071268.101,855975.7646,521.9823256,1043.964651
-3247220.028,-1055070.543,1539416.999,700.0083213,1400.016643
-3220548.047,-1054491.995,975865.8886,557.3398962,1114.679792
-3247713.881,-1062301.166,1558701.472,704.3792219,1408.758444
-3217471.261,-1096007.687,1070351.999,583.6982293,1167.396459
-3221317.828,-1095663.807,972152.4167,556.27846,1112.55692
-3235264.1,-1076528.13,912070.9674,538.8146303,1077.629261
-3230507.027,-1076563.992,1307966.127,645.2430156,1290.486031
-3134310.027,-1082731.875,9323778.065,1722.745116,3445.490232
-3138084.187,-1097015.765,1257288.705,632.6194943,1265.238989
-3111671.142,-1088939.266,2761822.431,937.6115314,1875.223063
-3123894.062,-1080115.066,8120420.491,1607.734469,3215.468938
-3130025.962,-1067643.607,6522608.052,1440.906183,2881.812365
-3141145.566,-1079728.175,733532.9381,483.2088431,966.4176862
-3147507.77,-1068161.691,621316.677,444.7147859,889.4295717
-3105631.874,-1074502.242,624949.5456,446.0130253,892.0260506
-3138875.992,-1054703.337,1902349.237,778.1623025,1556.324605
-3101546.144,-1110801.417,1485957.028,687.7461832,1375.492366
-3110599.742,-1105314.202,2273505.304,850.6933727,1701.386745
-3113941.764,-1105135.833,1070608.557,583.76818,1167.53636
-3144586.842,-1109840.817,807300.6506,506.9238387,1013.847677
-3144565.339,-1139552.207,835289.7874,515.6364971,1031.272994
-3134682.427,-1142522.544,7999230.18,1595.692341,3191.384683
-3126008.306,-1140103.336,6695914.868,1459.923251,2919.846503
-3106903.929,-1142876.169,1237049.621,627.507071,1255.014142
-3132749.878,-1148377.434,883410.948,530.2814708,1060.562942
-3129173.909,-1147143.079,2314573.877,858.3424417,1716.684883
-3130193.189,-1144948.259,764290.4654,493.2354519,986.4709039
-3133353.522,-1126351.695,785133.3753,499.9157082,999.8314164
-3213073.221,-1150954.194,1464475.742,682.7569895,1365.513979
-3223984.609,-1150551.049,921360.6643,541.5516671,1083.103334
-3247615.906,-1160465.326,690312.1336,468.7570551,937.5141101
-3203054.264,-1171643.315,710955.4886,475.7143688,951.4287375
-3234862.324,-1176069.737,1541032.044,700.375424,1400.750848
-3234472.579,-1156515.954,1652388.297,725.2389474,1450.477895
-3255066.871,-1165200.487,1577422.841,708.5967013,1417.193403
-3268568.526,-1156015.795,733389.7196,483.1616688,966.3233376
-3256338.754,-1162460.463,1743915.483,745.0540511,1490.108102
-3298987.514,-1168133.627,3349391.018,1032.542626,2065.085251
-3292745.538,-1175436.173,3456912.503,1048.98495,2097.9699
-3296828.138,-1198799.006,1321179.352,648.4939853,1296.987971
-3256149.386,-1175151.154,3016356.129,979.8652847,1959.730569
-3276415.851,-1178565.183,897906.0036,534.614214,1069.228428
-3277557.997,-1168573.582,859170.5563,522.9555258,1045.911052
-3189933.555,-1172147.917,12747677.65,2014.376286,4028.752572
-3161095.898,-1187744.804,6587531.138,1448.05949,2896.11898
-3174938.383,-1197597.802,1120275.774,597.1556365,1194.311273
-3157019.742,-1195864.015,2339597.776,862.9699311,1725.939862
-3158597.933,-1189223.719,1067460.596,582.9093076,1165.818615
-3164292.119,-1194611.558,1579533.927,709.0707049,1418.14141
-3170743.65,-1178459.451,1373102.69,661.1143329,1322.228666
-3167724.118,-1179576.223,3877509.786,1110.967911,2221.935821
-3160085.993,-1177955.788,2175528.218,832.1611259,1664.322252
-3183606.593,-1190988.116,1793637.634,755.6008146,1511.201629
-3156163.772,-1162262.038,2676588.889,923.0301753,1846.060351
-3164354.399,-1169569.881,817866.7471,510.2304099,1020.46082
-3175372.791,-1169787.685,1129823.312,599.6948639,1199.389728
-3171484.158,-1167624.307,1739105.002,744.025749,1488.051498
-3200193.33,-1197888.212,1210907.03,620.8411059,1241.682212
-3319036.068,-1217127.193,1145688004,19096.69653,38193.39305
-3101318.21,-1188026.438,7002575.197,1492.979877,2985.959755
-3109075.118,-1192833.763,4528106.737,1200.558678,2401.117357
-3118464.583,-1168457.342,17960135.64,2391.001616,4782.003233
-3132106.061,-1195723.075,1548839.386,702.1473412,1404.294682
-3113943.256,-1198465.01,677299.4347,464.3178932,928.6357864
-3116650.258,-1185413.336,1725350.294,741.0776313,1482.155263
-3117157.628,-1174950.621,3233078.421,1014.455925,2028.911851
-3136812.679,-1176830.586,3229185.546,1013.845,2027.69
-3139819.22,-1176598.38,1376768.867,661.9963304,1323.992661
-3144173.511,-1167054.77,793817.5594,502.6728329,1005.345666
-3123164.098,-1164640.656,5410707.487,1312.357301,2624.714601
-3127349.554,-1166854.572,5909722.337,1371.540391,2743.080782
-3103096.155,-1152080.869,2681434.268,923.8652698,1847.73054
-3106595.523,-1156721.104,2812851.504,946.23382,1892.46764
-3292766.411,-1144184.963,922836.9603,541.9853576,1083.970715
-3290566.622,-1140165.429,1076071.611,585.2556979,1170.511396
-3273381.888,-1132801.583,732338.6295,482.8153123,965.6306246
-3279470.958,-1127539.185,1644050.649,723.4069221,1446.813844
-3279368.349,-1124458.756,1572222.066,707.4276124,1414.855225
-3284361.279,-1118833.091,4405111.063,1184.141208,2368.282416
-3253369.906,-1126705.726,705607.3013,473.9217021,947.8434043
-3262296.453,-1127158.497,1134113.24,600.8323031,1201.664606
-3256911.947,-1104596.434,2608707.61,911.2504718,1822.500944
-3253331.749,-1109280.943,979345.7377,558.3327237,1116.665447
-3298083.948,-1140524.388,6412878.938,1428.734673,2857.469345
-3265940.178,-1093901.192,4649754.683,1216.578351,2433.156702
-3268772.779,-1099673.528,3094942.963,992.5477028,1985.095406
-3253410.409,-1075246.52,1954689.788,788.7947033,1577.589407
-3264998.79,-1086730.13,1159573.44,607.5390437,1215.078087
-3295128.129,-1069581.315,844807.5775,518.5659108,1037.131822
-3290953.463,-1061648.702,830292.9593,514.0918764,1028.183753
-3115503.38,-1211106.382,6161204.617,1400.41863,2800.837261
-3101395.228,-1247731.008,1899380.501,777.5548798,1555.10976
-3101565.996,-1246155.469,690666.817,468.8774636,937.7549273
-3118563.63,-1246445.459,812263.3775,508.4795603,1016.959121
-3125643.006,-1248650.255,2552715.587,901.4181094,1802.836219
-3134660.001,-1246155.191,1548321.66,702.0299789,1404.059958
-3129742.107,-1239611.417,2475176.097,887.6221166,1775.244233
-3111444.146,-1223479.228,3298756.689,1024.708186,2049.416372
-3112975.263,-1221977.067,2202298.817,837.265481,1674.530962
-3125302.029,-1221511.658,2328811.252,860.9783067,1721.956613
-3114392.236,-1203966.816,5997370.024,1381.673684,2763.347369
-3103052.708,-1202950.377,2054287.351,808.6408182,1617.281636
-3109758.014,-1207655.509,1361962.205,658.4269393,1316.853879
-3127303.266,-1202675.99,3774593.397,1096.125173,2192.250346
-3144715.149,-1211822.881,2680115.954,923.638135,1847.27627
-3146075.69,-1223003.261,1004650.636,565.499982,1130.999964
