x_coord_m,y_coord_m
-2742295.376,292992.0449
-2746462.572,289684.7466
-2748911.252,282503.9009
-2746661.01,277447.743
-2742692.252,277712.3269
-2739186.516,283731.6097
-2735019.32,286906.6161
-2732505.773,287964.9515
-2727743.264,288824.8491
-2724700.549,289023.287
-2721657.835,289023.287
-2719144.288,289023.287
-2716101.574,289486.3087
-2713191.151,290809.2281
-2709420.831,294844.132
-2706938.457,298014.8992
-2697909.958,293389.4906
-2657162.956,289652.1662
-2649582.118,264390.6989
-2617363.559,275625.3149
-2575668.952,274689.5379
-2533974.345,291520.9731
-2514074.646,295257.6322
-2497017.762,287782.9837
-2482803.691,282173.4693
-2479013.272,270009.4383
-2484698.901,247518.0547
-2467642.016,238134.0989
-2466788.288,239227.6777
-2458595.817,238482.7538
-2455579.561,239435.2557
-2453304.14,242186.9279
-2452245.805,245679.4348
-2450658.301,250177.3605
-2447959.546,254199.0352
-2445026.537,256477.1063
-2444996.047,256466.3647
-2395624.059,239072.8257
-2388990.826,230621.885
-2361510.29,205236.9497
-2333082.148,188288.8279
-2298020.775,159059.1357
-2319549.851,136682.5264
-2320192.698,136016.8253
-2321202.844,136521.8979
-2321303.696,137194.2486
-2321419.303,137964.9625
-2322285.142,137604.1964
-2323439.594,136521.8979
-2323944.666,135656.0592
-2325026.965,135078.8333
-2326614.336,135295.293
-2327913.094,135078.8333
-2328490.32,133852.2284
-2327913.094,133202.8493
-2327696.634,132120.5509
-2327985.247,131038.2524
-2329211.852,130533.1798
-2330221.997,129667.3411
-2331015.683,128512.8894
-2332530.901,127863.5103
-2332819.514,126709.0586
-2332458.747,126131.8328
-2333324.586,124616.615
-2334839.804,123101.3971
-2335489.183,121586.1793
-2335542.209,120578.697
-2335511.474,120092.5447
-2336681.687,118876.2637
-2337204.303,118333.0745
-2339997.48,115429.9391
-2340490.701,114917.3008
-2340962.006,114938.1611
-2340572.378,115847.2918
-2341178.465,116756.4225
-2342260.764,117232.6338
-2343169.894,117449.0935
-2343905.857,118141.7645
-2344468.653,118791.1436
-2344511.945,119830.1501
-2344814.988,120955.7405
-2344944.864,121734.9954
-2344858.28,122644.1261
-2345352.51,122953.0199
-2344728.404,123250.2132
-2343949.149,123509.9648
-2343299.77,123856.3003
-2342866.851,124981.8907
-2343126.603,125761.1456
-2343689.398,126497.1085
-2344338.777,127406.2392
-2345247.907,127622.6989
-2346200.33,126800.1521
-2347325.92,126410.5247
-2348408.219,126150.773
-2349144.182,126367.2327
-2350356.356,126756.8602
-2351049.027,126107.4811
-2351568.53,126150.773
-2352217.909,125847.7295
-2352694.121,126194.065
-2353170.332,126497.1085
-2353733.127,126280.6488
-2354512.382,126064.1892
-2354902.01,125198.3504
-2354555.674,124289.2197
-2354079.463,123336.7971
-2353863.003,122470.9583
-2353949.587,121431.9518
-2354339.214,120609.405
-2354772.134,119873.442
-2355118.469,118921.0194
-2355984.308,118185.0564
-2356806.855,117622.2613
-2357715.986,116843.0064
-2358105.613,116107.0434
-2358841.576,115154.6208
-2358754.992,114332.074
-2358105.613,113466.2352
-2357283.066,112686.9803
-2356460.519,111734.5577
-2355421.513,111301.6383
-2355075.177,112557.1045
-2354339.214,113422.9433
-2353213.624,113509.5271
-2352434.369,113509.5271
-2351438.655,113119.8997
-2351135.611,112513.8126
-2351568.53,111734.5577
-2352304.493,111258.3464
-2352694.121,110565.6754
-2352650.829,110132.756
-2351784.99,110392.5076
-2351135.611,110738.8431
-2350183.188,110782.1351
-2349533.809,109959.5882
-2348797.846,109786.4205
-2348061.883,110305.9237
-2347412.504,111215.0544
-2346806.417,111777.8496
-2346157.038,112427.2287
-2345724.119,113076.6078
-2345334.491,113596.111
-2345031.448,114245.4901
-2344295.485,114548.5337
-2343040.019,115197.9127
-2341914.428,114808.2853
-2341263.665,114897.0258
-2341156.149,114225.6566
-2341402.346,113969.7672
-2342558.195,112768.4161
-2347296.219,101418.4292
-2353929.452,86278.443
-2342558.195,89117.729
-2318868.078,102364.4219
-2270171.553,83585.4563
-2264854.61,72078.745
-2261107.337,63147.8244
-2252535.517,42718.5069
-2259168.982,25664.4978
-2252535.517,-3711.1475
-2251588.144,-4658.7757
-2253483.354,-21715.5745
-2266749.819,-27400.7888
-2261064.191,-42559.7566
-2287597.123,-66238.7115
-2292335.146,-79493.8267
-2281911.263,-87066.1477
-2242399.679,-160509.143
-2243701.245,-167812.5562
-2246347.084,-171305.0632
-2250051.258,-175326.7379
-2254860.069,-189184.3177
-2266501.759,-200429.1319
-2277746.574,-211806.2379
-2285154.922,-223447.9279
-2290975.767,-230856.276
-2297987.239,-239587.5435
-2299310.158,-252155.277
-2297325.779,-259695.9171
-2292695.562,-261548.0041
-2284228.878,-259563.6251
-2272454.896,-250700.0657
-2263326.753,-243556.3014
-2249039.224,-235883.3694
-2234487.112,-229930.2325
-2220861.043,-226358.3504
-2210862.174,-225720.0384
-2201365.095,-244544.8592
-2184301.976,-282660.7801
-2179570.187,-293230.7403
-2165356.116,-311896.4533
-2150814.109,-385180.2398
-2153008.005,-403524.9395
-2152584.671,-419611.6385
-2147716.328,-431676.6626
-2134804.636,-439720.0119
-2120834.608,-454325.0412
-2111358.967,-459443.7675
-2108499.834,-503491.4933
-2113237.858,-522530.1118
-2137875.58,-561310.5334
-2091872.154,-635559.0202
-2084568.047,-647347.6842
-2081682.922,-652004.2102
-2018477.388,-754016.5105
-1989053.213,-772769.2465
-1962568.71,-810323.5703
-1946459.431,-847362.0512
-1932829.142,-887863.2266
-1923716.918,-914454.9973
-1907607.638,-957562.3355
-1904386.377,-987743.6349
-1901511.457,-1009173.126
-1907032.216,-1038676.028
-1891498.358,-1055860.996
-1873493.869,-1080630.356
-1879179.497,-1083708.915
-1911398.057,-1079089.573
-1918239.396,-1078177.845
-1922647.71,-1081819.126
-1929421.057,-1084994.132
-1934712.735,-1091344.145
-1933866.066,-1110817.517
-1944449.421,-1121824.206
-1950164.432,-1132407.56
-1966424.517,-1147929.95
-1968222.177,-1151098.832
-1969304.476,-1152884.624
-1967735.143,-1156402.094
-1966631.665,-1160045.039
-1966737.603,-1160256.566
-1972992.362,-1172745.468
-1990996.851,-1235430.699
-2004263.317,-1255433.117
-1998577.689,-1261111.11
-1988998.092,-1304196.959
-1981520.804,-1333427.739
-1983530.585,-1335321.786
-1991303.785,-1331651.593
-1994478.791,-1328079.711
-2000696.512,-1323052.618
-2002548.599,-1319745.319
-2006252.773,-1317496.356
-2011676.742,-1315644.269
-2013528.829,-1316041.145
-2014454.872,-1317760.94
-2014719.456,-1324243.245
-2012470.494,-1328608.879
-2008237.152,-1331519.301
-2002680.891,-1333635.972
-1996330.878,-1335884.935
-1995096.821,-1340356.754
-1993053.149,-1344295.992
-1999525.294,-1350395.439
-1996525.746,-1362820.775
-1995937.259,-1365258.529
-1992892.061,-1377872.967
-1991139.321,-1389973.722
-1985941.346,-1425860.077
-1986864.756,-1426946.249
-1985212.331,-1430893.129
-1986328.418,-1436142.052
-1986128.692,-1437898.312
-1991776.522,-1481073.51
-1985650.582,-1479502.532
-1982175.612,-1483742.427
-1984250.628,-1487390.383
-1985390.917,-1488656.93
-1972684.844,-1503746.412
-1969640.975,-1507714.405
-1973962.072,-1509989.712
-1980119.11,-1508929.097
-1986290.965,-1507386.732
-1992414.068,-1506236.572
-1997280.793,-1508224.227
-1993671.355,-1511730.875
-1987471.794,-1512807.983
-1982781.652,-1515375.334
-1976863.771,-1516799.547
-1972376.107,-1519933.623
-1967295.807,-1522432.255
-1960913.671,-1523467.796
-1954641.699,-1524627.879
-1949894.908,-1527537.432
-1967241.966,-1564331.407
-1971907.187,-1567293.429
-1975817.016,-1570928.816
-1981146.46,-1573467.056
-1987663.335,-1575036.691
-1994331.292,-1575319.048
-1997660.471,-1574036.452
-2015218.01,-1572279.775
-2018877.623,-1571913.622
-2025165.148,-1574193.589
-2031546.125,-1576224.212
-2038060.624,-1577040.433
-2044997.247,-1576490.839
-2051773.325,-1575057.704
-2052734.649,-1574689.311
-2067830.07,-1575926.874
-2062263.192,-1588934.698
-2057511.269,-1592622.971
-2054993.198,-1595935.549
-2050376.504,-1599102.583
